t,step,linear,cosine,impulse (0.05s)
0,0.0,0.0,0.0,0.0
0.0001,3.0531133177191805e-15,3.0531133177191805e-15,3.0531133177191805e-15,3.0531133177191805e-15
0.0002,6.0906835130936095e-15,6.0906835130936095e-15,6.0906835130936095e-15,6.0906835130936095e-15
0.00030000000000000003,9.112810506195501e-15,9.112810506195501e-15,9.112810506195501e-15,9.112810506195501e-15
0.0004,1.2119593528758799e-14,1.2119593528758799e-14,1.2119593528758799e-14,1.2119593528758799e-14
0.0005,1.5111131129015298e-14,1.5111131129015298e-14,1.5111131129015298e-14,1.5111131129015298e-14
0.0006000000000000001,1.8087521176496634e-14,1.8087521176496634e-14,1.8087521176496634e-14,1.8087521176496634e-14
0.0007000000000000001,2.104886086680235e-14,2.104886086680235e-14,2.104886086680235e-14,2.104886086680235e-14
0.0008000000000000001,2.3995246726334306e-14,2.3995246726334306e-14,2.3995246726334306e-14,2.3995246726334306e-14
0.0009000000000000002,2.6926774616997635e-14,2.6926774616997635e-14,2.6926774616997635e-14,2.6926774616997635e-14
0.0010000000000000002,2.9843539740868535e-14,2.9843539740868535e-14,2.9843539740868535e-14,2.9843539740868535e-14
0.0011000000000000003,3.274563664482909e-14,3.274563664482909e-14,3.274563664482909e-14,3.274563664482909e-14
0.0012000000000000003,3.563315922516932e-14,3.563315922516932e-14,3.563315922516932e-14,3.563315922516932e-14
0.0013000000000000004,3.850620073215683e-14,3.850620073215683e-14,3.850620073215683e-14,3.850620073215683e-14
0.0014000000000000004,4.136485377457409e-14,4.136485377457409e-14,4.136485377457409e-14,4.136485377457409e-14
0.0015000000000000005,4.4209210324223756e-14,4.4209210324223756e-14,4.4209210324223756e-14,4.4209210324223756e-14
0.0016000000000000005,4.7039361720402107e-14,4.7039361720402107e-14,4.7039361720402107e-14,4.7039361720402107e-14
0.0017000000000000006,4.985539867434098e-14,4.985539867434098e-14,4.985539867434098e-14,4.985539867434098e-14
0.0018000000000000006,5.265741127361827e-14,5.265741127361827e-14,5.265741127361827e-14,5.265741127361827e-14
0.0019000000000000006,5.5445488986537304e-14,5.5445488986537304e-14,5.5445488986537304e-14,5.5445488986537304e-14
0.0020000000000000005,5.821972066647534e-14,5.821972066647534e-14,5.821972066647534e-14,5.821972066647534e-14
0.0021000000000000003,6.098019455620126e-14,6.098019455620126e-14,6.098019455620126e-14,6.098019455620126e-14
0.0022,6.372699829216294e-14,6.372699829216294e-14,6.372699829216294e-14,6.372699829216294e-14
0.0023,6.646021890874415e-14,6.646021890874415e-14,6.646021890874415e-14,6.646021890874415e-14
0.0024,6.917994284249157e-14,6.917994284249157e-14,6.917994284249157e-14,6.917994284249157e-14
0.0024999999999999996,7.188625593631187e-14,7.188625593631187e-14,7.188625593631187e-14,7.188625593631187e-14
0.0025999999999999994,7.457924344363917e-14,7.457924344363917e-14,7.457924344363917e-14,7.457924344363917e-14
0.0026999999999999993,7.72589900325731e-14,7.72589900325731e-14,7.72589900325731e-14,7.72589900325731e-14
0.002799999999999999,7.992557978998758e-14,7.992557978998758e-14,7.992557978998758e-14,7.992557978998758e-14
0.002899999999999999,8.257909622561073e-14,8.257909622561073e-14,8.257909622561073e-14,8.257909622561073e-14
0.0029999999999999988,8.52196222760758e-14,8.52196222760758e-14,8.52196222760758e-14,8.52196222760758e-14
0.0030999999999999986,8.784724030894362e-14,8.784724030894362e-14,8.784724030894362e-14,8.784724030894362e-14
0.0031999999999999984,9.046203212669664e-14,9.046203212669664e-14,9.046203212669664e-14,9.046203212669664e-14
0.0032999999999999982,9.30640789707047e-14,9.30640789707047e-14,9.30640789707047e-14,9.30640789707047e-14
0.003399999999999998,9.565346152516288e-14,9.565346152516288e-14,9.565346152516288e-14,9.565346152516288e-14
0.003499999999999998,9.823025992100149e-14,9.823025992100149e-14,9.823025992100149e-14,9.823025992100149e-14
0.0035999999999999977,1.0079455373976858e-13,1.0079455373976858e-13,1.0079455373976858e-13,1.0079455373976858e-13
0.0036999999999999976,1.0334642201748475e-13,1.0334642201748475e-13,1.0334642201748475e-13,1.0334642201748475e-13
0.0037999999999999974,1.058859432484712e-13,1.058859432484712e-13,1.058859432484712e-13,1.058859432484712e-13
0.0038999999999999972,1.084131953891503e-13,1.084131953891503e-13,1.084131953891503e-13,1.084131953891503e-13
0.0039999999999999975,1.1092825586181961e-13,1.1092825586181961e-13,1.1092825586181961e-13,1.1092825586181961e-13
0.004099999999999998,1.1343120155839914e-13,1.1343120155839914e-13,1.1343120155839914e-13,1.1343120155839914e-13
0.004199999999999998,1.1592210884415225e-13,1.1592210884415225e-13,1.1592210884415225e-13,1.1592210884415225e-13
0.004299999999999998,1.1840105356138016e-13,1.1840105356138016e-13,1.1840105356138016e-13,1.1840105356138016e-13
0.0043999999999999985,1.208681110330905e-13,1.208681110330905e-13,1.208681110330905e-13,1.208681110330905e-13
0.004499999999999999,1.2332335606663984e-13,1.2332335606663984e-13,1.2332335606663984e-13,1.2332335606663984e-13
0.004599999999999999,1.257668629573507e-13,1.257668629573507e-13,1.257668629573507e-13,1.257668629573507e-13
0.004699999999999999,1.2819870549210272e-13,1.2819870549210272e-13,1.2819870549210272e-13,1.2819870549210272e-13
0.0048,1.3061895695289883e-13,1.3061895695289883e-13,1.3061895695289883e-13,1.3061895695289883e-13
0.0049,1.33027690120406e-13,1.33027690120406e-13,1.33027690120406e-13,1.3302769012040599e-13
0.005,1.3542497727747108e-13,1.3542497727747108e-13,1.3542497727747108e-13,1.3542497727747106e-13
0.0051,1.3781089021261182e-13,1.3781089021261182e-13,1.3781089021261182e-13,1.3781089021261177e-13
0.005200000000000001,1.4018550022348327e-13,1.4018550022348327e-13,1.4018550022348327e-13,1.4018550022348317e-13
0.005300000000000001,1.425488781203196e-13,1.425488781203196e-13,1.425488781203196e-13,1.425488781203194e-13
0.005400000000000001,1.4490109422935192e-13,1.4490109422935192e-13,1.4490109422935192e-13,1.4490109422935149e-13
0.005500000000000001,1.472422183962015e-13,1.472422183962015e-13,1.472422183962015e-13,1.472422183962005e-13
0.005600000000000002,1.4957231998924948e-13,1.4957231998924948e-13,1.4957231998924948e-13,1.4957231998924726e-13
